Q1_answer,Q2_answer,Q3_answer,Q4_answer,Q5_answer,Age,Gender,Occupation,,,,,
1,7,5,Difference-removing feminism,No,20,Male,Student,,,,,
7,3,10,Difference-removing feminism,No,21,Female,Student,,,,,
8,2,6,Difference-denying feminism,No,19,Male,Student,,,,,
2,5,9,Difference-honoring feminism,Yes,50,Female,life_nurturer,,,,,
5,7,8,Difference-honoring feminism,No,45,Male,Restaurant owner,,,,,
1,1,10,Difference-honoring feminism,No,20,Female,Student,,,,,
3,1,6,Difference-denying feminism,No,20,Male,Student,,,,,
7,3,9,Difference-denying feminism,No,20,Male,Student,,,,,
2,1,8,Difference-honoring feminism,No,22,Male,Student,,,,,
7,4,7,Difference-denying feminism,No,21,Male,Student,,,,,
